budget_id,user_id,category,monthly_limit,month
B0074,U002,Travel,5000,2026-04
B0075,U002,Utilities,3000,2026-04
B0076,U002,Rent,15000,2026-04
B0077,U002,Other,2500,2026-04
B0078,U002,Food,6500,2026-05
B0079,U002,Transport,4000,2026-05
B0080,U002,Shopping,4500,2026-05
B0081,U002,Entertainment,1800,2026-05
B0082,U002,Bills,3500,2026-05
B0083,U002,Healthcare,3000,2026-05
B0084,U002,Education,2500,2026-05
B0085,U002,Travel,5000,2026-05
B0086,U002,Utilities,3000,2026-05
B0087,U002,Rent,15000,2026-05
B0088,U002,Other,2500,2026-05
B0089,U002,Food,6500,2026-06
B0090,U002,Transport,4000,2026-06
B0091,U002,Shopping,4500,2026-06
B0092,U002,Entertainment,1800,2026-06
B0093,U002,Bills,3500,2026-06
B0094,U002,Healthcare,3000,2026-06
B0095,U002,Education,2500,2026-06
B0096,U002,Travel,5000,2026-06
B0097,U002,Utilities,3000,2026-06
B0098,U002,Rent,15000,2026-06
B0099,U002,Other,2500,2026-06
B0100,U002,Food,6500,2026-07
B0101,U002,Transport,4000,2026-07
B0102,U002,Shopping,4500,2026-07
B0103,U002,Entertainment,1800,2026-07
B0104,U002,Bills,3500,2026-07
B0105,U002,Healthcare,3000,2026-07
B0106,U002,Education,2500,2026-07
B0107,U002,Travel,5000,2026-07
B0108,U002,Utilities,3000,2026-07
B0109,U002,Rent,15000,2026-07
B0110,U002,Other,2500,2026-07
B0111,U002,Food,6500,2026-08
B0112,U002,Transport,4000,2026-08
B0113,U002,Shopping,4500,2026-08
B0114,U002,Entertainment,1800,2026-08
B0115,U002,Bills,3500,2026-08
B0116,U002,Healthcare,3000,2026-08
B0117,U002,Education,2500,2026-08
B0118,U002,Travel,5000,2026-08
B0119,U002,Utilities,3000,2026-08
B0120,U002,Rent,15000,2026-08
B0121,U002,Other,2500,2026-08
B0122,U002,Food,6500,2026-09
B0123,U002,Transport,4000,2026-09
B0124,U002,Shopping,4500,2026-09
B0125,U002,Entertainment,1800,2026-09
B0126,U002,Bills,3500,2026-09
B0127,U002,Healthcare,3000,2026-09
B0128,U002,Education,2500,2026-09
B0129,U002,Travel,5000,2026-09
B0130,U002,Utilities,3000,2026-09
B0131,U002,Rent,15000,2026-09
B0132,U002,Other,2500,2026-09
B0133,U003,Food,8000,2026-04
B0134,U003,Transport,5000,2026-04
B0135,U003,Shopping,9000,2026-04
B0136,U003,Entertainment,4000,2026-04
B0137,U003,Bills,4000,2026-04
B0138,U003,Healthcare,5000,2026-04
B0139,U003,Education,4000,2026-04
B0140,U003,Travel,10000,2026-04
B0141,U003,Utilities,4000,2026-04
B0142,U003,Rent,18000,2026-04
B0143,U003,Other,4000,2026-04
B0144,U003,Food,8000,2026-05
B0145,U003,Transport,5000,2026-05
B0146,U003,Shopping,9000,2026-05
B0147,U003,Entertainment,4000,2026-05
B0148,U003,Bills,4000,2026-05
B0149,U003,Healthcare,5000,2026-05
B0150,U003,Education,4000,2026-05
B0151,U003,Travel,10000,2026-05
B0152,U003,Utilities,4000,2026-05
B0153,U003,Rent,18000,2026-05
B0154,U003,Other,4000,2026-05
B0155,U003,Food,8000,2026-06
B0156,U003,Transport,5000,2026-06
B0157,U003,Shopping,9000,2026-06
B0158,U003,Entertainment,4000,2026-06
B0159,U003,Bills,4000,2026-06
B0160,U003,Healthcare,5000,2026-06
B0161,U003,Education,4000,2026-06
B0162,U003,Travel,10000,2026-06
B0163,U003,Utilities,4000,2026-06
B0164,U003,Rent,18000,2026-06
B0165,U003,Other,4000,2026-06
B0166,U003,Food,8000,2026-07
B0167,U003,Transport,5000,2026-07
B0168,U003,Shopping,9000,2026-07
B0169,U003,Entertainment,4000,2026-07
B0170,U003,Bills,4000,2026-07
B0171,U003,Healthcare,5000,2026-07
B0172,U003,Education,4000,2026-07
B0173,U003,Travel,10000,2026-07
B0174,U003,Utilities,4000,2026-07
B0175,U003,Rent,18000,2026-07
B0176,U003,Other,4000,2026-07
B0177,U003,Food,8000,2026-08
B0178,U003,Transport,5000,2026-08
B0179,U003,Shopping,9000,2026-08
B0180,U003,Entertainment,4000,2026-08
B0181,U003,Bills,4000,2026-08
B0182,U003,Healthcare,5000,2026-08
B0183,U003,Education,4000,2026-08
B0184,U003,Travel,10000,2026-08
B0185,U003,Utilities,4000,2026-08
B0186,U003,Rent,18000,2026-08
B0187,U003,Other,4000,2026-08
B0188,U003,Food,8000,2026-09
B0189,U003,Transport,5000,2026-09
B0190,U003,Shopping,9000,2026-09
B0191,U003,Entertainment,4000,2026-09
B0192,U003,Bills,4000,2026-09
B0193,U003,Healthcare,5000,2026-09
B0194,U003,Education,4000,2026-09
B0195,U003,Travel,10000,2026-09
B0196,U003,Utilities,4000,2026-09
B0197,U003,Rent,18000,2026-09
B0198,U003,Other,4000,2026-09
B0199,U004,Food,5500,2026-04
B0200,U004,Transport,3500,2026-04
B0201,U004,Shopping,4000,2026-04
B0202,U004,Entertainment,2000,2026-04
B0203,U004,Bills,3000,2026-04
B0204,U004,Healthcare,2500,2026-04
B0205,U004,Education,3500,2026-04
B0206,U004,Travel,4000,2026-04
B0207,U004,Utilities,2500,2026-04
B0208,U004,Rent,10000,2026-04
B0209,U004,Other,2000,2026-04
B0210,U004,Food,5500,2026-05
B0211,U004,Transport,3500,2026-05
B0212,U004,Shopping,4000,2026-05
B0213,U004,Entertainment,2000,2026-05
B0214,U004,Bills,3000,2026-05
B0215,U004,Healthcare,2500,2026-05
B0216,U004,Education,3500,2026-05
B0217,U004,Travel,4000,2026-05
B0218,U004,Utilities,2500,2026-05
B0219,U004,Rent,10000,2026-05
B0220,U004,Other,2000,2026-05
B0221,U004,Food,5500,2026-06
B0222,U004,Transport,3500,2026-06
B0223,U004,Shopping,4000,2026-06
B0224,U004,Entertainment,2000,2026-06
B0225,U004,Bills,3000,2026-06
B0226,U004,Healthcare,2500,2026-06
B0227,U004,Education,3500,2026-06
B0228,U004,Travel,4000,2026-06
B0229,U004,Utilities,2500,2026-06
B0230,U004,Rent,10000,2026-06
B0231,U004,Other,2000,2026-06
B0232,U004,Food,5500,2026-07
B0233,U004,Transport,3500,2026-07
B0234,U004,Shopping,4000,2026-07
B0235,U004,Entertainment,2000,2026-07
B0236,U004,Bills,3000,2026-07
B0237,U004,Healthcare,2500,2026-07
B0238,U004,Education,3500,2026-07
B0239,U004,Travel,4000,2026-07
B0240,U004,Utilities,2500,2026-07
B0241,U004,Rent,10000,2026-07
B0242,U004,Other,2000,2026-07
B0243,U004,Food,5500,2026-08
B0244,U004,Transport,3500,2026-08
B0245,U004,Shopping,4000,2026-08
B0246,U004,Entertainment,2000,2026-08
B0247,U004,Bills,3000,2026-08
B0248,U004,Healthcare,2500,2026-08
B0249,U004,Education,3500,2026-08
B0250,U004,Travel,4000,2026-08
B0251,U004,Utilities,2500,2026-08
B0252,U004,Rent,10000,2026-08
B0253,U004,Other,2000,2026-08
B0254,U004,Food,5500,2026-09
B0255,U004,Transport,3500,2026-09
B0256,U004,Shopping,4000,2026-09
B0257,U004,Entertainment,2000,2026-09
B0258,U004,Bills,3000,2026-09
B0259,U004,Healthcare,2500,2026-09
B0260,U004,Education,3500,2026-09
B0261,U004,Travel,4000,2026-09
B0262,U004,Utilities,2500,2026-09
B0263,U004,Rent,10000,2026-09
B0264,U004,Other,2000,2026-09
B0265,U005,Food,7000,2026-04
B0266,U005,Transport,4000,2026-04
B0267,U005,Shopping,6000,2026-04
B0268,U005,Entertainment,2500,2026-04
B0269,U005,Bills,4000,2026-04
B0270,U005,Healthcare,4000,2026-04
B0271,U005,Education,4000,2026-04
B0272,U005,Travel,8000,2026-04
B0273,U005,Utilities,4000,2026-04
B0274,U005,Rent,20000,2026-04
B0275,U005,Other,3500,2026-04
B0276,U005,Food,7000,2026-05
B0277,U005,Transport,4000,2026-05
B0278,U005,Shopping,6000,2026-05
B0279,U005,Entertainment,2500,2026-05
B0280,U005,Bills,4000,2026-05
B0281,U005,Healthcare,4000,2026-05
B0282,U005,Education,4000,2026-05
B0283,U005,Travel,8000,2026-05
B0284,U005,Utilities,4000,2026-05
B0285,U005,Rent,20000,2026-05
B0286,U005,Other,3500,2026-05
B0287,U005,Food,7000,2026-06
B0288,U005,Transport,4000,2026-06
B0289,U005,Shopping,6000,2026-06
B0290,U005,Entertainment,2500,2026-06
B0291,U005,Bills,4000,2026-06
B0292,U005,Healthcare,4000,2026-06
B0293,U005,Education,4000,2026-06
B0294,U005,Travel,8000,2026-06
B0295,U005,Utilities,4000,2026-06
B0296,U005,Rent,20000,2026-06
B0297,U005,Other,3500,2026-06
B0298,U005,Food,7000,2026-07
B0299,U005,Transport,4000,2026-07
B0300,U005,Shopping,6000,2026-07
B0301,U005,Entertainment,2500,2026-07
B0302,U005,Bills,4000,2026-07
B0303,U005,Healthcare,4000,2026-07
B0304,U005,Education,4000,2026-07
B0305,U005,Travel,8000,2026-07
B0306,U005,Utilities,4000,2026-07
B0307,U005,Rent,20000,2026-07
B0308,U005,Other,3500,2026-07
B0309,U005,Food,7000,2026-08
B0310,U005,Transport,4000,2026-08
B0311,U005,Shopping,6000,2026-08
B0312,U005,Entertainment,2500,2026-08
B0313,U005,Bills,4000,2026-08
B0314,U005,Healthcare,4000,2026-08
B0315,U005,Education,4000,2026-08
B0316,U005,Travel,8000,2026-08
B0317,U005,Utilities,4000,2026-08
B0318,U005,Rent,20000,2026-08
B0319,U005,Other,3500,2026-08
B0320,U005,Food,7000,2026-09
B0321,U005,Transport,4000,2026-09
B0322,U005,Shopping,6000,2026-09
B0323,U005,Entertainment,2500,2026-09
B0324,U005,Bills,4000,2026-09
B0325,U005,Healthcare,4000,2026-09
B0326,U005,Education,4000,2026-09
B0327,U005,Travel,8000,2026-09
B0328,U005,Utilities,4000,2026-09
B0329,U005,Rent,20000,2026-09
B0330,U005,Other,3500,2026-09
